mean_test_score,std_test_score,mean_train_score,std_train_score,rank_test_score,params
0.6051446129718234,0.006208636861821963,0.9998832003114659,9.536654634155898e-05,22,"{'clf__C': 10, 'tfidf__max_df': 0.95, 'tfidf__max_features': 20000, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 2)}"
0.6048861633146365,0.013013239276784907,0.9786222323628622,0.0009099262265117997,25,"{'clf__C': 1, 'tfidf__max_df': 0.9, 'tfidf__max_features': 50000, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 1)}"
0.6048861633146365,0.013013239276784907,0.9786222323628622,0.0009099262265117997,25,"{'clf__C': 1, 'tfidf__max_df': 0.95, 'tfidf__max_features': 50000, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 1)}"
0.6048861633146365,0.013013239276784907,0.9786222323628622,0.0009099262265117997,25,"{'clf__C': 1, 'tfidf__max_df': 0.9, 'tfidf__max_features': 20000, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 1)}"
0.6048861633146365,0.013013239276784907,0.9786222323628622,0.0009099262265117997,25,"{'clf__C': 1, 'tfidf__max_df': 1.0, 'tfidf__max_features': 20000, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 1)}"
0.6048861633146365,0.013013239276784907,0.9786222323628622,0.0009099262265117997,25,"{'clf__C': 1, 'tfidf__max_df': 0.95, 'tfidf__max_features': 20000, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 1)}"
0.6048861633146365,0.013013239276784907,0.9786222323628622,0.0009099262265117997,25,"{'clf__C': 1, 'tfidf__max_df': 1.0, 'tfidf__max_features': 50000, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 1)}"
0.6035279477419968,0.010570565874157329,0.9998832003114659,9.536654634155898e-05,31,"{'clf__C': 3, 'tfidf__max_df': 0.9, 'tfidf__max_features': 50000, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 1)}"
0.6035279477419968,0.010570565874157329,0.9998832003114659,9.536654634155898e-05,31,"{'clf__C': 3, 'tfidf__max_df': 0.95, 'tfidf__max_features': 20000, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 1)}"
0.6035279477419968,0.010570565874157329,0.9998832003114659,9.536654634155898e-05,31,"{'clf__C': 3, 'tfidf__max_df': 1.0, 'tfidf__max_features': 20000, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 1)}"
0.6035279477419968,0.010570565874157329,0.9998832003114659,9.536654634155898e-05,31,"{'clf__C': 3, 'tfidf__max_df': 0.9, 'tfidf__max_features': 20000, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 1)}"
0.6035279477419968,0.010570565874157329,0.9998832003114659,9.536654634155898e-05,31,"{'clf__C': 3, 'tfidf__max_df': 0.95, 'tfidf__max_features': 50000, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 1)}"
0.6035279477419968,0.010570565874157329,0.9998832003114659,9.536654634155898e-05,31,"{'clf__C': 3, 'tfidf__max_df': 1.0, 'tfidf__max_features': 50000, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 1)}"
0.6017434030446216,0.007540272098506878,0.9940433552454004,0.0003795294855437139,37,"{'clf__C': 1, 'tfidf__max_df': 1.0, 'tfidf__max_features': 50000, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 2)}"
0.6017434030446216,0.007540272098506878,0.9940433552454004,0.0003795294855437139,37,"{'clf__C': 1, 'tfidf__max_df': 0.95, 'tfidf__max_features': 20000, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 2)}"
0.6017434030446216,0.007540272098506878,0.9940433552454004,0.0003795294855437139,37,"{'clf__C': 1, 'tfidf__max_df': 1.0, 'tfidf__max_features': 20000, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 2)}"
